Nom_valide,Nom_français,Règne,Classe,Ordre,Famille,CD_REF,CD_NOM
"Caulacanthus ustulatus (Mertens ex Turner) Kutz., 1843",Caulacanthe brulee,Plantae (Plantes),Florideophyceae,Gigartinales,Caulacanthaceae,72562,72562
"Caulerpa taxifolia (M.Vahl) C.Agardh, 1817","Caulerpe taxifoliee, Caulerpe a feuilles d'If",Plantae (Plantes),Ulvophyceae,Bryopsidales,Caulerpaceae,368610,368610
"Celtodoryx ciocalyptoides (Burton, 1935)",Eponge chinoise,Animalia (Animaux),Demospongiae (Demosponges),Poecilosclerida,Coelosphaeridae,543362,543362
"Ceratitis capitata (Wiedemann, 1824)","Mouche mediterraneenne des fruits, Mouche mediterraneenne, Mouche des fruits, Mouche de l'oranger",Animalia (Animaux),Insecta (Insectes),"Diptera (Mouches, Moustiques, Cousins)",Tephritidae,24102,24102
"Ceratochloa cathartica (Vahl) Herter, 1940","Brome cathartique, Ceratochloa cathartique, Brome faux uniola, Brome purgatif",Plantae (Plantes),Equisetopsida (Equisetopsides),Poales (Poales),Poaceae (Poacees),90192,90192
"Ciona intestinalis (Linnaeus, 1767)","Ascidie jaune, Cione, Cione instestinale",Animalia (Animaux),Ascidiacea (Ascidies),Phlebobranchia,Cionidae,6912,6912
"Codium fragile (Suringar) Har., 1889","Codium fragile, Algue chou-fleur, Codium orvet",Plantae (Plantes),Ulvophyceae,Bryopsidales,Codiaceae,72608,72608
"Corbicula fluminalis (O.F. Muller, 1774)",Corbicule striolee,Animalia (Animaux),Bivalvia (Bivalves),Venerida,Cyrenidae,64641,64641
"Corbicula fluminea (O.F. Muller, 1774)",Corbicule asiatique,Animalia (Animaux),Bivalvia (Bivalves),Venerida,Cyrenidae,163433,163433
"Corbicula leana Prime, 1864",Corbicule japonaise,Animalia (Animaux),Bivalvia (Bivalves),Venerida,Cyrenidae,885309,885309
"Corella eumyota Traustedt, 1882",Ascidie cartilagineuse,Animalia (Animaux),Ascidiacea (Ascidies),Phlebobranchia,Corellidae,647530,647530
