Genre,Famille,Ordre,Classe,Règne,Groupe_Grand_Public,CD_REF,Nom scientifique,CD_NOM
Epacromius,Acrididae,Orthoptera,Insecta,Animalia,Insectes et araignees,535775,"Epacromius tergestinus ponticus (Karny, 1907)",535775
Epacromius,Acrididae,Orthoptera,Insecta,Animalia,Insectes et araignees,535774,"Epacromius tergestinus tergestinus (Megerle von Muhlfeld in Charpentier, 1825)",535774
Ephippiger,Tettigoniidae,Orthoptera,Insecta,Animalia,Insectes et araignees,837848,"Ephippiger diurnus cunii Bolivar, 1877",837848
Ephippiger,Tettigoniidae,Orthoptera,Insecta,Animalia,Insectes et araignees,536062,"Ephippiger diurnus diurnus Dufour, 1841",536062
Ephippiger,Tettigoniidae,Orthoptera,Insecta,Animalia,Insectes et araignees,535823,"Ephippiger diurnus Dufour, 1841",535823
Ephippiger,Tettigoniidae,Orthoptera,Insecta,Animalia,Insectes et araignees,65657,"Ephippiger provincialis Yersin, 1854",65657
Ephippiger,Tettigoniidae,Orthoptera,Insecta,Animalia,Insectes et araignees,65661,"Ephippiger terrestris bormansi (Brunner von Wattenwyl, 1882)",65661
Ephippiger,Tettigoniidae,Orthoptera,Insecta,Animalia,Insectes et araignees,65660,"Ephippiger terrestris terrestris Yersin, 1854",65660
Ephippiger,Tettigoniidae,Orthoptera,Insecta,Animalia,Insectes et araignees,65659,"Ephippiger terrestris Yersin, 1854",65659
Ephippiger,Tettigoniidae,Orthoptera,Insecta,Animalia,Insectes et araignees,0,"Ephippiger Berthold, 1827",0
Epipodisma,Acrididae,Orthoptera,Insecta,Animalia,Insectes et araignees,159429,"Epipodisma pedemontana waltheri Harz, 1973",159429
Epitheca,Corduliidae,Odonata,Insecta,Animalia,Insectes et araignees,65387,"Epitheca bimaculata (Charpentier, 1825)",65387
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,219801,"Erebia aethiopella (Hoffmannsegg, 1806)",53512
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53483,"Erebia aethiops (Esper, 1777)",53483
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,647038,"Erebia alberganus (Prunner, 1798)",647038
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,219802,"Erebia cassioides auct. non (Reiner & Hohenwarth, 1792)",53524
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53467,"Erebia epiphron (Knoch, 1783)",53467
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53520,"Erebia epistygne (Hubner, 1819)",53520
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53451,"Erebia euryale (Esper, 1805)",53451
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53506,"Erebia gorge (Hubner, 1804)",53506
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53516,"Erebia gorgone Boisduval, 1833",53516
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53546,"Erebia lefebvrei (Boisduval, 1828)",53546
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53449,"Erebia ligea (Linnaeus, 1758)",53449
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53459,"Erebia manto (Denis & Schiffermuller, 1775)",53459
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53487,"Erebia medusa (Denis & Schiffermuller, 1775)",53487
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53479,"Erebia melampus (Fuessly, 1775)",53479
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,647125,"Erebia meolans (Prunner, 1798)",647125
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53518,"Erebia mnestra (Hubner, 1804)",53518
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,647132,"Erebia montana (Prunner, 1798)",647132
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53562,"Erebia neoridas (Boisduval, 1828)",53562
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53564,"Erebia oeme (Hubner, 1804)",53564
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53534,"Erebia ottomana Herrich-Schaffer, 1847",53534
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53576,"Erebia pandrose (Borkhausen, 1788)",53576
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53477,"Erebia pharte (Hubner, 1804)",53477
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,647144,"Erebia pluto (Prunner, 1798)",647144
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53538,"Erebia pronoe (Esper, 1780)",53538
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,392335,"Erebia rondoui Oberthur, 1908",392335
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53542,"Erebia scipio Boisduval, 1833",53542
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,219804,"Erebia sthennyo Graslin, 1850",219804
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53481,"Erebia sudetica Staudinger, 1861",53481
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,647158,"Erebia triaria (de Prunner, 1798)",53485
Erebia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,0,"Erebia Dalman, 1816",0
Erynnis,Hesperiidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53307,"Erynnis tages (Linnaeus, 1758)",53307
Erythromma,Coenagrionidae,Odonata,Insecta,Animalia,Insectes et araignees,645873,"Erythromma lindenii (Selys-Longchamps, 1840)",645873
Erythromma,Coenagrionidae,Odonata,Insecta,Animalia,Insectes et araignees,65161,"Erythromma najas (Hansemann, 1823)",65161
Erythromma,Coenagrionidae,Odonata,Insecta,Animalia,Insectes et araignees,65165,"Erythromma viridulum (Charpentier, 1840)",65165
Erythromma,Coenagrionidae,Odonata,Insecta,Animalia,Insectes et araignees,0,"Erythromma Hansemann, 1823",0
Euchloe,Pieridae,Lepidoptera,Insecta,Animalia,Insectes et araignees,54433,"Euchloe crameri Butler, 1869",54433
Euchloe,Pieridae,Lepidoptera,Insecta,Animalia,Insectes et araignees,219828,"Euchloe insularis (Staudinger, 1861)",219828
Euchloe,Pieridae,Lepidoptera,Insecta,Animalia,Insectes et araignees,219827,"Euchloe simplonia (Freyer, 1829)",219827
